ITEM_ID,GENRE,EXERCISE_NAME
1,UpperBody,incline dumbbell press
2,UpperBody,incline cable crossovers
3,UpperBody,incline dumbbell flyes
4,UpperBody,decline dumbbell press
5,UpperBody,decline cable crossovers
6,UpperBody,decline dumbbell flyes
7,UpperBody,chest flyes
8,UpperBody,cable crossovers
9,UpperBody,dumbbell flyes
10,Core-Back,pull-ups
11,Core-Back,barbell rows
12,Core-Back,dumbbell rows
13,Core-Back,seated cable rows
14,Core-Back,bent-over rows
15,Core-Back,hyperextensions
16,Core-Back,bird dog
17,UpperBody-Biceps,barbell curls
18,UpperBody-Biceps,dumbbell curls
19,UpperBody-Biceps,preacher curls
20,UpperBody-Biceps,hammer curls
21,UpperBody-Biceps,concentration curls
22,UpperBody-Triceps,close-grip bench press
23,UpperBody-Triceps,overhead triceps extensions
24,UpperBody-Triceps,triceps pushdowns
25,UpperBody-Triceps,skull crushers
26,UpperBody-Triceps,triceps dips
27,LowerBody,barbell squats
28,LowerBody,leg press
29,LowerBody,leg extensions
30,LowerBody-Hamstrings,romanian deadlifts
31,LowerBody-Hamstrings,leg curls
32,LowerBody-Glutes,barbell hip thrusts
33,LowerBody-Glutes,donkey kicks
34,LowerBody-Glutes,standing calf raises
35,LowerBody-Glutes,seated calf raises
36,UpperBody-Shoulders,dumbbell front raises
37,UpperBody-Shoulders,lateral raises
38,UpperBody-Shoulders,bent-over lateral raises
39,UpperBody-Shoulders,face pulls
40,Core-Abdominals,crunches
41,Core-Abdominals,leg raises
42,Core-Abdominals,bicycle crunches
43,Core-Abdominals,russian twists
44,Core-Abdominals,hanging leg raises
45,Core-Abdominals,plank
46,UpperBody-Forearms,wrist curl
47,UpperBody-Forearms,wrist extension
48,UpperBody-Forearms,plate pinch
49,UpperBody-Forearms,towel pull-up
50,UpperBody-Forearms,fat grip dumbbell curl
51,UpperBody-Forearms,hammer curl
52,Core-Abdominals,partner plank band row
53,Core-Abdominals,banded crunch isometric hold
54,Core-Abdominals,banded plank jack
55,Core-Abdominals,banded crunch
56,Core-Abdominals,crunch
57,Core-Abdominals,decline band press sit-up
58,Core-Abdominals,banded frog pump
59,Core-Abdominals,band low-to-high twist
60,Core-Abdominals,barbell roll-out
61,Core-Abdominals,barbell ab rollout - on knees
62,Core-Abdominals,decline bar press sit-up
63,Core-Abdominals,bench barbell roll-out
64,Core-Abdominals,barbell side bend
65,Core-Abdominals,seated bar twist
66,Core-Abdominals,single-arm landmine pull and press
67,Core-Abdominals,barbell ab roll out - gethin variation
68,Core-Abdominals,barbell floor wiper
69,Core-Abdominals,barbell roll-out
70,Core-Abdominals,decline plate sit-up
71,Core-Abdominals,kv barbell hip thrust
72,Core-Abdominals,advanced kettlebell windmill
73,Core-Abdominals,kettlebell windmill
74,Core-Abdominals,kettlebell pass between the legs
75,Core-Abdominals,kettlebell 3-point leg extension
76,Core-Abdominals,double kettlebell swing
77,Core-Abdominals,burpee over kettlebell
78,Core-Abdominals,kettlebell toe-touch
79,Core-Abdominals,kettlebell swing
80,Core-Abdominals,two-way swing
81,Core-Abdominals,kettlebell crab reach
82,Core-Abdominals,single-arm kettlebell swing
83,Core-Abdominals,kettlebell up to elbow down
84,Core-Abdominals,double-kettlebell ski
85,Core-Abdominals,kettlebell hike
86,Core-Abdominals,kettlebell cross-body catch
87,Core-Abdominals,kettlebell duck walk
88,Core-Abdominals,kettlebell get-up reach
89,Core-Abdominals,kettlebell juggle
90,Core-Abdominals,squat-clean-alternating-press complex
91,Core-Abdominals,dumbbell v-sit cross jab
92,Core-Abdominals,dumbbell spell caster
93,Core-Abdominals,dumbbell side bend
94,Core-Abdominals,dumbbell crunch
95,Core-Abdominals,dumbbell fix dumbbell sprawl
96,Core-Abdominals,dumbbell fix alternating renegade row
97,Core-Abdominals,dumbbell fix dumbbell mountain climber
98,Core-Abdominals,dumbbell fix dumbbell russian twist
99,Core-Abdominals,dumbbell fix dumbbell pull-over
100,Core-Abdominals,dumbbell fix dumbbell sit-up
101,Core-Abdominals,dumbbell fix dumbbell front squat
102,Core-Abdominals,dumbbell fix full man maker
103,Core-Abdominals,dumbbell t-hold
104,Core-Abdominals,dumbbell hollow-body floor press
105,Core-Abdominals,dumbbell crusher
106,Core-Abdominals,dumbbell crunch - gethin variation
107,Core-Abdominals,single-arm dumbbell crunch
108,Core-Abdominals,alternating dumbbell plank row
109,Core-Abdominals,dumbbell straight-legged hip raise
110,Core-Abdominals,seated leg tuck with dumbbell
